"table","variable","code","label","note","type"
"collision","collision_index",,,"unique value for each collision. The collision_index combines the collision_year and collision_ref_no to form a unique ID. It can be used to join to Vehicle and Casualty","character"
"collision","collision_year",,,,"numeric"
"collision","collision_ref_no",,,"In year id used by the police to reference a collision. It is not unique outside of the year, use collision_index for linking to other years","character"
"collision","location_easting_osgr",,,"Null if not known","numeric"
"collision","location_northing_osgr",,,"Null if not known","numeric"
"collision","longitude",,,"Null if not known","numeric"
"collision","latitude",,,"Null if not known","numeric"
"collision","police_force","1","Metropolitan Police",,"character"
"collision","police_force","3","Cumbria",,"character"
"collision","police_force","4","Lancashire",,"character"
"collision","police_force","5","Merseyside",,"character"
"collision","police_force","6","Greater Manchester",,"character"
"collision","police_force","7","Cheshire",,"character"
"collision","police_force","10","Northumbria",,"character"
"collision","police_force","11","Durham",,"character"
"collision","police_force","12","North Yorkshire",,"character"
"collision","police_force","13","West Yorkshire",,"character"
"collision","police_force","14","South Yorkshire",,"character"
"collision","police_force","16","Humberside",,"character"
"collision","police_force","17","Cleveland",,"character"
"collision","police_force","20","West Midlands",,"character"
"collision","police_force","21","Staffordshire",,"character"
"collision","police_force","22","West Mercia",,"character"
"collision","police_force","23","Warwickshire",,"character"
"collision","police_force","30","Derbyshire",,"character"
"collision","police_force","31","Nottinghamshire",,"character"
"collision","police_force","32","Lincolnshire",,"character"
"collision","police_force","33","Leicestershire",,"character"
"collision","police_force","34","Northamptonshire",,"character"
"collision","police_force","35","Cambridgeshire",,"character"
"collision","police_force","36","Norfolk",,"character"
"collision","police_force","37","Suffolk",,"character"
"collision","police_force","40","Bedfordshire",,"character"
"collision","police_force","41","Hertfordshire",,"character"
"collision","police_force","42","Essex",,"character"
"collision","police_force","43","Thames Valley",,"character"
"collision","police_force","44","Hampshire",,"character"
"collision","police_force","45","Surrey",,"character"
"collision","police_force","46","Kent",,"character"
"collision","police_force","47","Sussex",,"character"
"collision","police_force","48","City of London",,"character"
"collision","police_force","50","Devon and Cornwall",,"character"
"collision","police_force","52","Avon and Somerset",,"character"
"collision","police_force","53","Gloucestershire",,"character"
"collision","police_force","54","Wiltshire",,"character"
"collision","police_force","55","Dorset",,"character"
"collision","police_force","60","North Wales",,"character"
"collision","police_force","61","Gwent",,"character"
"collision","police_force","62","South Wales",,"character"
"collision","police_force","63","Dyfed-Powys",,"character"
"collision","police_force","91","Northern","category discontinued in 2019","character"
"collision","police_force","92","Grampian","category discontinued in 2019","character"
"collision","police_force","93","Tayside","category discontinued in 2019","character"
"collision","police_force","94","Fife","category discontinued in 2019","character"
"collision","police_force","95","Lothian and Borders","category discontinued in 2019","character"
"collision","police_force","96","Central","category discontinued in 2019","character"
"collision","police_force","97","Strathclyde","category discontinued in 2019","character"
"collision","police_force","98","Dumfries and Galloway","category discontinued in 2019","character"
"collision","police_force","99","Police Scotland","category introduced in 2019","character"
"collision","collision_severity","1","Fatal",,"character"
"collision","collision_severity","2","Serious",,"character"
"collision","collision_severity","3","Slight",,"character"
"collision","enhanced_collision_severity","1","Fatal","category introduced where collected in 2023","character"
"collision","enhanced_collision_severity","5","Very Serious","category introduced where collected in 2023","character"
"collision","enhanced_collision_severity","6","Moderately Serious","category introduced where collected in 2023","character"
"collision","enhanced_collision_severity","7","Less Serious","category introduced where collected in 2023","character"
"collision","enhanced_collision_severity","3","Slight","category introduced where collected in 2023","character"
"collision","enhanced_collision_severity","-1","Data missing or out of range","category introduced where collected in 2023","character"
"collision","number_of_vehicles",,,,"character"
"collision","number_of_casualties",,,,"character"
"collision","date","(DD/MM/YYYY)",,,"character"
"collision","day_of_week","1","Sunday",,"character"
"collision","day_of_week","2","Monday",,"character"
"collision","day_of_week","3","Tuesday",,"character"
"collision","day_of_week","4","Wednesday",,"character"
"collision","day_of_week","5","Thursday",,"character"
"collision","day_of_week","6","Friday",,"character"
"collision","day_of_week","7","Saturday",,"character"
"collision","time","(HH:MM)",,"Null if not known","character"
"collision","local_authority_district","1","Westminster",,"character"
"collision","local_authority_district","2","Camden",,"character"
"collision","local_authority_district","3","Islington",,"character"
"collision","local_authority_district","4","Hackney",,"character"
"collision","local_authority_district","5","Tower Hamlets",,"character"
"collision","local_authority_district","6","Greenwich",,"character"
"collision","local_authority_district","7","Lewisham",,"character"
"collision","local_authority_district","8","Southwark",,"character"
"collision","local_authority_district","9","Lambeth",,"character"
"collision","local_authority_district","10","Wandsworth",,"character"
"collision","local_authority_district","11","Hammersmith and Fulham",,"character"
"collision","local_authority_district","12","Kensington and Chelsea",,"character"
"collision","local_authority_district","13","Waltham Forest",,"character"
"collision","local_authority_district","14","Redbridge",,"character"
"collision","local_authority_district","15","Havering",,"character"
"collision","local_authority_district","16","Barking and Dagenham",,"character"
"collision","local_authority_district","17","Newham",,"character"
"collision","local_authority_district","18","Bexley",,"character"
"collision","local_authority_district","19","Bromley",,"character"
"collision","local_authority_district","20","Croydon",,"character"
"collision","local_authority_district","21","Sutton",,"character"
"collision","local_authority_district","22","Merton",,"character"
